0:N(1842),HP(8369),HM(10210),HA(10267),LP(14405),LM(16413),LA(17752)
1:N(1039),HP(4487),HM(5525),HA(5615),LA(7967),LP(8170),LM(10040)
2:N(119),HP(439),HA(552),HM(557),LP(617),LM(702),LA(703)
3:N(459),HP(1856),HM(2314),HA(2345),LM(3158),LP(3345),LA(3986)
4:N(1212),HP(5336),HM(6547),HA(6570),LP(8461),LM(9411),LA(10727)
5:N(559),HP(2346),HM(2904),HA(2938),LP(4044),LA(4350),LM(4391)
6:N(1999),HP(9158),HA(11145),HM(11156),LP(15436),LM(17206),LA(19134)
7:N(1554),HP(6928),HM(8481),HA(8564),LP(10954),LM(11783),LA(13425)
8:N(592),HP(2467),HM(3058),HA(3086),LP(4059),LM(4365),LA(4385)
9:N(1183),HP(5207),HM(6389),HA(6421),LP(7997),LA(8632),LM(9334)
10:N(1000),HP(4302),HM(5301),HA(5350),LP(7050),LM(8308),LA(8535)
11:N(1527),HP(6884),HM(8410),HA(8485),LP(12098),LM(13247),LA(13382)
12:N(586),HP(2472),HA(3027),HM(3057),LP(3634),LA(3971),LM(4186)
13:N(1486),HP(6682),HA(8080),HM(8167),LP(11800),LA(13003),LM(13630)
14:N(448),HP(1842),HA(2278),HM(2289),LP(2595),LM(3080),LA(3243)
15:N(976),HP(4235),HM(5210),HA(5214),LP(7536),LM(7882),LA(8198)
16:N(990),HP(4307),HM(5296),HA(5299),LM(7105),LA(7578),LP(7653)
17:N(913),HP(3942),HM(4854),HA(4913),LP(7298),LM(7400),LA(7520)
18:N(1886),HP(8597),HM(10482),HA(10544),LP(14164),LM(15225),LA(17372)
19:N(369),HP(1507),HA(1857),HM(1875),LP(2183),LM(2476),LA(2907)
20:N(1560),HP(7018),HA(8522),HM(8577),LP(13747),LM(14414),LA(15508)
21:N(347),HP(1419),HA(1743),HM(1765),LP(2133),LM(2485),LA(2978)
22:N(123),HP(454),HM(576),HA(578),LP(611),LM(758),LA(781)
23:N(294),HP(1172),HA(1460),HM(1465),LA(1865),LP(2065),LM(2313)
24:N(1246),HP(5452),HM(6697),HA(6786),LP(8757),LA(9647),LM(10516)
25:N(147),HP(549),HA(692),HM(695),LP(817),LM(925),LA(927)
26:N(1664),HP(7535),HA(9167),HM(9198),LP(12334),LA(14486),LM(15175)
27:N(289),HP(1114),HM(1402),HA(1436),LP(1681),LA(1935),LM(2014)
28:N(1639),HP(7425),HM(9066),HA(9141),LP(12824),LA(13915),LM(14569)
29:N(476),HP(1931),HM(2406),HA(2410),LP(3292),LM(3415),LA(3967)
30:N(1676),HP(7557),HM(9232),HA(9308),LM(14431),LP(15755),LA(15832)
31:N(1729),HP(3458),HM(5186),HA(6319),LM(6910),LA(13053),LP(1499041)
32:N(433),HP(1760),HM(2192),HA(2193),LA(2913),LP(2937),LM(3187)
33:N(1805),HP(3611),HM(5417),HA(6639),LM(7700),LA(17601),LP(1633523)
34:N(1694),HP(7698),HA(9390),HM(9391),LP(13394),LA(15162),LM(15366)
35:N(800),HP(3474),HM(4273),HA(4292),LP(5128),LM(5728),LA(5870)
36:N(1093),HP(2185),HM(3277),HA(3989),LM(4369),LA(8700),LP(600055)
37:N(1499),HP(6682),HM(8180),HA(8267),LM(12744),LP(12891),LA(13110)
38:N(617),HP(1233),HM(1849),HA(2262),LM(2465),LA(4693),LP(191885)
39:N(84),HP(300),HM(383),HA(385),LP(416),LA(465),LM(484)
40:N(419),HP(1726),HA(2124),HM(2144),LP(2886),LM(3152),LA(3530)
41:N(1896),HP(8606),HM(10501),HA(10527),LA(14721),LP(15582),LM(16186)
42:N(1458),HP(6479),HM(7936),HA(8042),LP(11008),LA(12514),LM(12671)
43:N(236),HP(913),HM(1148),HA(1151),LP(1384),LA(1666),LM(1796)
44:N(1216),HP(2432),HM(3647),HA(4466),LM(4858),LA(10888),LP(742366)
45:N(1138),HP(2275),HM(3412),HA(4193),LM(4549),LA(8310),LP(650365)
46:N(426),HP(1715),HM(2140),HA(2160),LP(2514),LM(3179),LA(3614)
47:N(1517),HP(6714),HM(8230),HA(8396),LP(11508),LA(12250),LM(14478)
48:N(1799),HP(8186),HM(9984),HA(10051),LM(14523),LP(15784),LA(16104)
49:N(929),HP(4061),HM(4989),HA(4994),LP(6042),LA(7523),LM(7757)
50:N(1662),HP(7499),HM(9160),HA(9195),LP(12324),LA(13806),LM(14876)
51:N(892),HP(3776),HM(4667),HA(4758),LA(6614),LP(7020),LM(7456)
52:N(1431),HP(6385),HM(7815),HA(7884),LP(10912),LM(11117),LA(12930)
53:N(751),HP(3179),HM(3929),HA(3986),LP(5461),LM(6105),LA(6549)
54:N(1838),HP(3675),HM(5512),HA(6779),LM(7349),LA(14022),LP(1693715)
55:N(1776),HP(7972),HM(9747),HA(9861),LP(15082),LM(15299),LA(16272)
56:N(1623),HP(7313),HM(8935),HA(9018),LP(12312),LA(12866),LM(13146)
57:N(778),HP(3329),HM(4106),HA(4112),LP(5660),LA(6042),LM(6798)
58:N(1163),HP(5158),HM(6320),HA(6333),LP(7805),LM(9138),LA(10187)
59:N(1824),HP(8268),HM(10091),HA(10158),LP(15283),LA(16373),LM(17284)
60:N(109),HP(384),HM(492),HA(493),LP(628),LA(630),LM(661)
61:N(693),HP(2924),HM(3616),HA(3656),LP(4803),LA(5027),LM(5357)
62:N(428),HP(1731),HA(2149),HM(2158),LP(3277),LM(3295),LA(3338)
63:N(687),HP(2903),HM(3589),HA(3609),LP(4886),LM(5335),LA(5482)
64:N(1383),HP(6116),HM(7498),HA(7575),LP(10725),LM(11007),LA(12028)
65:N(1857),HP(8466),HM(10322),HA(10323),LP(14705),LA(15258),LM(16256)
66:N(728),HP(3074),HM(3801),HA(3837),LA(5093),LP(5209),LM(6107)
67:N(1783),HP(7946),HM(9728),HA(9917),LP(15496),LA(16257),LM(16319)
68:N(1095),HP(4762),HM(5856),HA(5922),LP(7204),LM(8009),LA(9738)
69:N(1165),HP(5171),HA(6306),HM(6335),LM(8921),LP(9209),LA(9317)
70:N(1552),HP(6920),HM(8471),HA(8513),LM(11985),LP(12886),LA(14442)
71:N(1553),HP(3105),HM(4658),HA(5689),LM(6568),LA(12276),LP(1209785)
72:N(1845),HP(8354),HM(10198),HA(10301),LP(14916),LM(15135),LA(16669)
73:N(1237),HP(5477),HM(6713),HA(6751),LP(8899),LA(9900),LM(10046)
74:N(1802),HP(3604),HM(5405),HA(6603),LM(7202),LA(15326),LP(1628105)
75:N(578),HP(2422),HM(2999),HA(3042),LP(3597),LA(4406),LM(4926)
76:N(101),HP(368),HA(464),HM(468),LP(495),LM(601),LA(635)
77:N(74),HP(147),HM(220),HA(267),LM(293),LA(449),LP(2921)
78:N(329),HP(1320),HM(1648),HA(1663),LP(1799),LM(2144),LA(2178)
79:N(1057),HP(4595),HM(5651),HA(5709),LM(8192),LP(8714),LA(9317)
80:N(244),HP(929),HM(1172),HA(1207),LP(1346),LA(1554),LM(1852)
81:N(250),HP(961),HA(1202),HM(1210),LP(1430),LA(1648),LM(1705)
82:N(373),HP(1502),HM(1874),HA(1880),LP(2288),LA(2436),LM(2698)
83:N(1969),HP(3938),HM(5907),HA(7254),LM(8652),LA(17768),LP(1943401)
84:N(1947),HP(8998),HM(10944),HA(10983),LP(15926),LM(16131),LA(18134)
85:N(1449),HP(6429),HM(7877),HA(7917),LP(10717),LA(11566),LM(11750)
86:N(1667),HP(7529),HM(9195),HA(9326),LM(13884),LP(13885),LA(14239)
87:N(1265),HP(5552),HM(6816),HA(6880),LA(9932),LM(9940),LP(9995)
88:N(348),HP(1379),HM(1726),HA(1745),LP(1967),LA(2365),LM(2465)
89:N(452),HP(1863),HM(2314),HA(2324),LP(3026),LA(3411),LM(3481)
90:N(1554),HP(7033),HM(8586),HA(8631),LA(12820),LP(13220),LM(14010)
91:N(1436),HP(6365),HM(7800),HA(7901),LP(11189),LM(12352),LA(12549)
92:N(1670),HP(7582),HM(9251),HA(9285),LM(12998),LP(13613),LA(13982)
